name;votes;level
Законодательно обязать установить во всех дворах многоквартирных домов на территории России систему ливневой канализации;1224;Федеральный
Внести изменения в Федеральный закон от 19 июня 2004 г. № 54-ФЗ «О собраниях, митингах, демонстрациях, шествиях и пикетированиях»;1222;Федеральный
Бесплатно предоставлять жилье в собственность гражданам РФ на условиях федеральной программы стимулирования граждан к переселению в регионы, и, как следствие, улучшение демографической ситуации и развитие регионов России;1221;Федеральный
Внести изменения в правила дорожного движения для обеспечения беспрепятственного доступа специальных автомобилей служб ЖКХ к местам сбора бытовых отходов;1221;Федеральный
Запретить использование в городах шумных транспортных средств;1221;Федеральный
Установить продолжительность ежедневной работы или рабочей смены 6 часов;1221;Федеральный
Запретить тонировку задних фар автомобилей, внести изменения в ПДД и КоАП;1220;Федеральный
Выделить сезонный период отключения горячей воды в отдельный расчётный период для оплаты как за холодную воду;1217;Федеральный
Ускорить снятие ареста со счетов должника до 1 рабочего дня с момента поступления постановления;1216;Федеральный
Запретить открытую перевалку и хранение навалочных пылящих грузов открытым способом в пределах населённых пунктов;1215;Федеральный
Установить повышающий коэффициент для штрафов за нарушение правил дорожного движения (ПДД) для водителей легковых автомобилей дороже 2 млн. рублей;1214;Федеральный
Ввести в электронных картах, используемых для оплаты проезда, функцию возврата денежных средств за невыполненные услуги проезда в общественном транспорте;1211;Федеральный
Создать законодательную базу для возможности рефинасирования ипотеки внутри банка;1210;Федеральный
Создать доступную среду для летнего отдыха инвалидов;1205;Федеральный
Уменьшить необходимое количества голосов для инициативы в РОИ как для кандидата в президенты;1203;Федеральный
Создание и содержание хосписов предприятиями, наносящих вред здоровью населению;1203;Федеральный
Проводить «прямую линию» с главами администраций поселений, городов и регионов;1200;Федеральный
Обязать сотовых операторов предоставлять предварительно оплаченные услуги  непрерывно и в полном объеме;1200;Федеральный
Вернуть прямые выборы мэров городов, переподчинить или упразднить должность сити-менеджера (городского управляющего);1198;Федеральный
Полностью запретить алкоголь в самолётах и в поездах дальнего следования;1195;Федеральный
Отменить налог на жилые помещения, приобретенные в ипотеку;1194;Федеральный
Приравнять инициативы по искусственному обесцениванию национальной валюты к государственной измене;1193;Федеральный
Установить для аптечного бизнеса фиксированную прибыль;1193;Федеральный
Необходимость восстановления памяти нашего народа. Не дать оболванить нашу молодёжь – вот сейчас одна из главных задач.;1189;Федеральный
Синхронизировать базу данных ФНС России и регистрирующих органов для моментального обновления базы данных ФНС России об объектах собственности и подлежащих уплате налогах и сборах;1188;Федеральный
Смягчить наказание за объезд стоящего на остановке маршрутного ТС (автобуса) по встречной полосе;1187;Федеральный
Обязать кредитные учреждения (банки) при составлении договора расчет по основной сумме кредита и процентам по кредиту производить в процентном соотношении 50/50;1187;Федеральный
Голосование сделать не тайным, а публичным. Право на контроль своего голоса.;1187;Федеральный
Начать противодействие оттоку населения из регионов в Москву;1187;Федеральный
Оборудовать системой контроля утечки бытового газа и автоматического отключения подачи газа при утечке в неблагополучных семьях и у людей с нездоровой психикой;1185;Федеральный
Официально запретить любую рекламу средств интимной гигиены, а также препаратов интимного назначения;1183;Федеральный
Ростовские погорельцы;1180;Федеральный
Ограничить скорость автомобилей во дворах жилых домов до 5 км/час;1180;Федеральный
Дополнить декларации публичных должностных лиц;1179;Федеральный
Признать фото- и видеофиксацию процесса преступления или его результата лицом или лицами, совершающими преступление, обстоятельствами, отягчающими наказание;1176;Федеральный
Вернуть федеральный стандарт социальной нормы жилого помещения;1174;Федеральный
Ввести пожизненное лишение свободы террористам и их сообщникам;1174;Федеральный
Установить законом размер моральной компенсации вреда здоровью, полученного от бездействия городских властей по уборке в зимний период времени, не ниже прожиточного минимума;1173;Федеральный
Обязать школьных учителей самих проходить ЕГЭ;1172;Федеральный
Упростить процедуру внесения изменений в конструкцию транспортного средства;1172;Федеральный
Поощрять граждан за борьбу с уголовными, административными и иными правонарушениями;1172;Федеральный
Упорядочить оплату и зачисления за капитальный ремонт в домах;1169;Федеральный
Отменить сроки давности для восстановления любых имущественных прав гражданина;1168;Федеральный
Сделать штрафы целевыми;1164;Федеральный
Запретить ежегодные плановые отключения горячей воды;1163;Федеральный
Привлекать на общих основаниях к административной ответственности военнослужащих и лиц, имеющих специальные звания, за нарушение порядка рассмотрения обращений граждан;1163;Федеральный
Усилить контроль активности высших должностных лиц госучреждений и депутатов Госдумы РФ в использовании интернет ресурса РОИ;1163;Федеральный
Присвоить каждому сотруднику силовых структур кодовый числовой номер личной идентификации, который будет указан, легко читаем издалека, на их форменной одежде на рукаве, груди, спине;1162;Федеральный
Обеспечить граждан государственной электронной подписью со сроком действия не менее 5 лет;1161;Федеральный
Сохранить в законодательстве нормы о проведении историко-культурной экспертизы;1161;Федеральный
Включить в Правила дорожного движения требование, обязывающее пешеходов выражать жестом намерение о пересечении проезжей части по нерегулируемому пешеходному переходу;1161;Федеральный
Запретить посадку тополей и заменить их саженцами других деревьев;1157;Федеральный
Ограничить уровень шума в жилой зоне, создать зоны тишины возле образовательных учреждений, больниц, и ввести административную ответственность за нарушение в этих зонах;1157;Федеральный
Установить единовременную государственную помощь для лиц, перенесших тяжёлую медицинскую операцию;1155;Федеральный
Разрешить подавать обращения и получать информацию гражданам РФ в Центральном архиве Министерства Обороны (ЦАМО РФ) через интернет (личный кабинет) ;1155;Федеральный
Меры по борьбе с коррупцией;1154;Федеральный
Реализовать на территории Российской Федерации единую транспортную карту для оплаты проезда на общественном транспорте;1153;Федеральный
Оборудовать трубопровод холодного водоснабжения на вводе в многоквартирный дом постом мониторинга качества и чистоты подаваемой в дом питьевой воды;1153;Федеральный
Изменить порядок определения налоговой базы для расчета налога на имущества для физических лиц;1152;Федеральный
Пособие на детей-первенцев с 2018 г.: устранить несправедливое разделение детей до 1,5 лет на рожденных до 01.01.18 г. и после;1150;Федеральный
Ограничить промышленный вылов биоресурсов в низовьях Амура;1150;Федеральный
Обязать сотрудников ГИБДД, ДПС (при остановке ТС, разборе ДТП и прочее) располагать патрульную машину на проезжей части по ходу движения первой с включенными световыми спецсигналами;1147;Федеральный
Запретить рекламу на платных ТВ каналах;1144;Федеральный
Добавить в статью 220 Налогового кодекса освобождение от налога на доход от сдачи жилья для проживания граждан;1144;Федеральный
Изменить формулу для начисления трудовой пенсии;1143;Федеральный
Отмена регистрации по месту жительства для граждан Российской Федерации;1142;Федеральный
Запретить вручать в качестве наградного оружия те виды оружия, право на приобретение, хранение и ношение которых не предоставлено всем гражданам Российской Федерации;1142;Федеральный
Ввести ограничения на право управления мотоциклом;1141;Федеральный
Обязать операторов сотовой связи отвечать на звонки абонентов не позже 3 минут;1141;Федеральный
Подготовить и утвердить федеральную программу по устройству на всех дорогах России разделительного ограждения между проезжими частями для разных направлений;1140;Федеральный
Отменить муниципальный фильтр на губернаторских выборах;1139;Федеральный
Ужесточить наказание за езду в пьяном виде и отсутствие ОСАГО;1138;Федеральный
Освободить владельцев угнанных автомобилей от обязанности предоставлять справку об угоне для освобождения от уплаты транспортного налога;1137;Федеральный
Присвоить инвалидность 3 группы по зрению людям со слепым одним глазом (отсутствии глаза) при остроте зрения второго от 90 до 100%;1136;Федеральный
Навести порядок с доступом к мобильной связи в местах лишения свободы;1136;Федеральный
Добавить на портал Госуслуги возможность проведения заочного голосования собственников жилья;1134;Федеральный
Отменить техосмотр транспортных средств в период их гарантийного обслуживания;1133;Федеральный
Создать сеть государственных магазинов продуктов питания и сеть государственных аптек;1133;Федеральный
Ужесточить наказание для водителей автобусов, троллейбусов, трамваев и легковых такси, находящихся в состоянии алкогольного опьянения;1133;Федеральный
Изменить систему финансирования жилищно-коммунального хозяйства (ЖКХ);1132;Федеральный
Утвердить субботу рабочим днем для судов общей юрисдикции;1131;Федеральный
Изменение в положении о прокуратуре России;1131;Федеральный
Не вычитать обеденное время из отработанных нормо-часов рабочего дня, если сотрудник не выходил за пределы рабочего места, либо обедал на рабочем месте, совмещая обед с рабочими обязанностями;1131;Федеральный
Обязать государственные ВУЗы бесплатно предоставлять материалы учебных программ всем желающим получать образование экстерном, бесплатно проводить государственные (итоговые) аттестации;1130;Федеральный
Освободить от налогов производственный сектор в малонаселённых регионах (создать российский оффшор);1130;Федеральный
Восстановление сбережений граждан, размещенных во вклады в государственных сберкассах, в период до 20 июня 1991 года в полном объеме с учетом всех индексаций;1125;Федеральный
Обязать застройщика выполнять первоначальный проект строительства;1125;Федеральный
Создать комфортную городскую среду для пешеходов;1125;Федеральный
Против отписок и бездействия прокуратуры (п.2 ст.21 «прокуратура не подменяет иные государственные органы»);1124;Федеральный
Ужесточить ответственность водителей транспортных средств (ТС) за создание помех (непропуск) ТС экстренных служб;1124;Федеральный
Не включать доплату за инвалидность в размер трудовой пенсии;1123;Федеральный
Компенсировать вклады Сбербанка, открытые 20 июня 1991 года и позже;1121;Федеральный
Использовать кадастровую стоимость имущества для исчисления имущественного налогового вычета;1121;Федеральный
Сократить сроки камеральной проверки по имущественному вычету для физических лиц;1120;Федеральный
Обязать депутатов всех уровней зарегистрироваться на интернет-ресурсе «Российская общественная инициатива»;1120;Федеральный
Подавать налоговую и бухгалтерскую отчётность, отчётность в Фонд социального страхования и Пенсионный фонд через портал госуслуг, подписав электронно-цифровой подписью;1120;Федеральный
Привязать к полису обязательного медицинского страхования (ОМС) накопительный электронный счёт, на который производить перечисления средств для оплаты медицинских услуг в любом медицинском учреждении;1120;Федеральный
Запретить строительство домов в Москве и РФ без согласования с градостроительным планом и планом развития инфрастркутуры района;1120;Федеральный
Ввести уголовную ответственность за умышленное воспрепятствование законной деятельности профессиональных союзов;1119;Федеральный
Установить единый возраст совершеннолетия и привязать к нему наступление полной ответственности за себя и свои действия;1118;Федеральный
Установить минимальную заработную плату в размере средней заработной платы по региону;1117;Федеральный
Приравнять депутатов всех уровней;1117;Федеральный
Сократить срок рассмотрения обращений граждан (жалобы) по 59-ФЗ «О порядке рассмотрения обращений граждан Российской Федерации»;1115;Федеральный
Ввести меры поддержки региональным производителям пищевой промышленности при работе с торговыми сетями;1115;Федеральный
Ввести мораторий на жилищно-гражданское строительство в городах со сформированной застройкой;1115;Федеральный
Обязать операторов сотовой связи заключать договор на оказание услуг с обязательным приложением описания подключаемого тарифного плана;1114;Федеральный
Обеспечить продуктовые магазины и рынки продукцией местных производителей, составляющей не менее 25% ассортимента товара;1114;Федеральный
Ввести социально-нормированную предельную плотность населения для крупных населённых пунктов;1113;Федеральный
Создать интерактивную общественную приёмную депутата Государственной Думы;1113;Федеральный
Не принимать проект федерального закона «О безопасности судоходства маломерных судов и внесении изменений в отдельные законодательные акты Российской Федерации»;1112;Федеральный
Депутатов выбирать из инициативных граждан;1112;Федеральный
Изменить статью 55 Кодекса административного судопроизводства Российской Федерации (КАС РФ);1111;Федеральный
Четко прописать в Трудовом кодексе РФ статью, регламентирующую дежурство на дому (ожидание вызова);1111;Федеральный
Предоставить многодетным семьям льготу по налогу на имущество физических лиц;1109;Федеральный
Прекратить государственную политику «не кошмарить бизнес»;1108;Федеральный
Увеличить производительность труда рабочих с помощью обучения их, а не увольнения;1108;Федеральный
Изменить определение «пешеход»;1107;Федеральный
Организовать международное взаимодействие по выявлению россиянок, находящихся в сексуальном рабстве;1107;Федеральный
Обязать производителей продуктов питания указывать гликемический и инсулиновый индекс продукта;1107;Федеральный
Изменить «Примечание» пункта 4 ст.1.5 КоАП РФ в отношении водителей и транспортных средств;1104;Федеральный
Освободить общество от услуг адвокатов по назначению. Создать институт защиты прав граждан в правосудии.;1104;Федеральный
Обязать профильный государственный институт ежеквартально анализировать инициативы на сайте ROI и публиковать отчет с рекомендациями для законодательной и исполнительной властей;1104;Федеральный
Обязать управляющую организацию проводить конкурс на замещение каждые три года;1103;Федеральный
Вернуть советский норматив оценки состояния опьянения водителя;1103;Федеральный
Обязать производителей указывать на товарной упаковке, какой уксус использован для производства продуктов питания, натуральный (яблочный, виноградный...) или синтетический уксус;1102;Федеральный
Не урезать нормы инсоляции для детских учреждений, отменить Постановление Главного государственного санитарного врача Российской Федерации от 10.04.2017 № 47 о сокращении нормы инсоляции для площадок детских садов и школ;1100;Федеральный
Информировать депутатов об инициативах, обладающих наибольшим отношением голосов «против» к голосам «за»;1099;Федеральный
Встроить в каждый радар ДПС счётчик срабатывания для невозможности получения взяток сотрудниками ГИБДД на дорогах;1098;Федеральный
Проводить ежеквартальную «прямую линию» с председателем Правительства РФ;1098;Федеральный
Квалифицировать смерь человека в ДТП, в котором виновен водитель, находящийся в состоянии алкогольного или наркотического опьянения, как умышленное убийство с отягчающими обстоятельствами;1098;Федеральный
Регистрацию актов поверки или замены счётчиков водоснабжения передать в ведение МФЦ «Мои документы»;1097;Федеральный
Запретить использование опасного препарата для диагноститки туберкулеза у детей;1097;Федеральный
Принудительно эвакуировать шумные транспортные средства ;1095;Федеральный
Ужесточить наказание за самовольную вырубку деревьев и кустарников на государственных и муниципальных землях;1092;Федеральный
Ввести нормы на уровень светового и шумового загрязнения от рекламы для торговых центров;1090;Федеральный
Оборудовать столы учителей, преподавателей, воспитателей кнопками экстренного оповещения об опасности;1090;Федеральный
Четко определить, какая должна быть платная дорога и кто должен платить;1090;Федеральный
Провести реновацию многоквартиных домов по всей стране;1090;Федеральный
Внести изменения в СНиП 31-01-2003 Здания жилые многоквартирные;1089;Федеральный
Перевод бюджета РФ на систему blockchain;1088;Федеральный
Изменить порядок зачисления в медицинские ВУЗы лиц, имеющих среднее медицинское образование и стаж по соответствующей медицинской специальности 10 и более лет;1080;Федеральный
Законодательно закрепить принцип сетевого нейтралитета;1080;Федеральный
Внести изменения в статью 151 ТК РФ и прописать минимальный размер оплаты труда при совмещении профессий (должностей) - не менее 50% от оклада;1079;Федеральный
Разработать работающие законы, защищающие права граждан;1079;Федеральный
Ввести административный арест злостных нарушителей ПДД в населенных пунктах;1078;Федеральный
Привязать стоимость ОСАГО к стоимости автомобиля;1077;Федеральный
Принять закон об установлении срока предоставления жилья детям-сиротам;1077;Федеральный
Законодательно закрепить возможность использования приборов учета, непосредственно учитывающих расход ресурсов на содержание общего имущества в многоквартирных домах, как основной вариант;1077;Федеральный
Увеличить штраф за движение транспортных средств по обочинам до 5 000 рублей;1076;Федеральный
Ввести уголовное наказание за саботаж в отраслях народного хозяйства;1073;Федеральный
Передать все полномочия по заготовке и продаже лесных ресурсов Дальнего Востока государственным предприятиям;1071;Федеральный
Изменить для банков правила выдачи кредитов населению;1071;Федеральный
Проверять крупных работодателей на предмет соблюдения прав работников;1070;Федеральный
Обязать всех кандидатов на выборные должности указывать партийную принадлежность, а также все политические партии, в которых кандидат состоял ранее;1070;Федеральный
Ввести в эксплуатацию браслеты с медицинской информацией для лиц, страдающих тяжелыми хроническими заболеваниями;1068;Федеральный
Запретить исполнение аудио- и видеомузыкальных произведений как вокальных, так и инструментальных под фонограмму, и установить ответственность за нарушение;1068;Федеральный
Предоставить государственную стипендию студентам из многодетных семей;1066;Федеральный
Запретить индексировать размер вносимой гражданами платы за коммунальные услуги в городах, где доля индивидуального платежа превышает 15% от среднестатистического дохода населения;1066;Федеральный
Сократить штат судей Президиумов областных судов и Верховного Суда РФ для экономии бюджета и более эффективной их работы;1065;Федеральный
Ввести материальную компенсацию за нарушение режима инсоляции существующих зданий при уплотнительной застройке ;1065;Федеральный
Заменить стратегию в интересах женщин на стратегию в интересах всех граждан страны независимо от пола;1064;Федеральный
Улучшение кадровой политики судов;1064;Федеральный
Не принимать закон, допускающий выпуск бродячих собак обратно на улицу после отлова;1062;Федеральный
Запретить осуществлять временную регистрацию иностранных граждан на Почте России;1061;Федеральный
Создать сеть государственных вольеров (крытых) для содержания собак или кошек, не имеющих своей «квартиры» или «дома», в пригодных для этого местах, с возможностью их обслуживания, а именно: кормления, лечения и санитарии;1059;Федеральный
Изменить метод расчёта оплаты нормативных водо- и электроснабжения;1059;Федеральный
Разработать законопроект о регулировании риэлтерской и посреднической деятельности в области недвижимости;1058;Федеральный
Запретить передачу личного номера сотовой связи для продажи иным лицам;1057;Федеральный
Внести изменения в статью 407 Налогового кодекса Российской Федерации, установив льготы по налогу на имущество физических лиц в отношении объекта налогообложения «нежилое помещение (кладовая)»;1057;Федеральный
Установить системы фото- и видеофиксации в местах светофорного регулирования;1056;Федеральный
Отменить госпошлину для выдачи судебного приказа;1056;Федеральный
Ужесточить требования к деятельности организаций, оказывающих информационно-консультационные услуги на рынке недвижимости;1054;Федеральный
Обеспечить прием жалоб о совершении судьей дисциплинарного проступка в форме электронного документа;1053;Федеральный
Определение многодетной семьи на федеральном уровне;1053;Федеральный
Отменить 95% отчетности всех государственных и муниципальных органов, учреждений и организаций;1052;Федеральный
Обязать собаководов проходить воспитательную дрессировку;1052;Федеральный
Отменить лишние нотариально заверяемые заявления, в частности ввести возможность оформления согласия родителей на выезд несовершеннолетнего гражданина через портал государственных услуг;1050;Федеральный
Законодательно обязать энергосбытовые и управляющие компании согласовывать дату проведения проверок приборов учета с ответственным квартиросъемщиком (собственником);1048;Федеральный
Изменить статус региональных министерств на отделы;1048;Федеральный
Установить системы видеонаблюдения в общественных местах;1045;Федеральный
Ввести обязательную пересдачу экзамена по ПДД для водителей с национальными водительскими удостоверениями других государств при движении на личных автомобилях (или по доверенности) с российскими номерными знаками на всей территории РФ;1045;Федеральный
Усилить защиту госслужащих и членов их семей от влияния иностранных агентов;1042;Федеральный
Обязать операторов сотовой и другой связи быстро отвечать на звонки в техподдержку;1042;Федеральный
Разрешить оформление разрешений (а также оплату госпошлин) или лицензий на спортивную или любительскую охоту в угодьях общего пользования через портал Госуслуги;1041;Федеральный
Включить Т-спот (T-SPOT.TB) в перечень услуг, предоставляемых обязательным медицинским страхованием (ОМС), с правом граждан сдавать анализ непосредственно в поликлинике по месту жительства;1040;Федеральный
Провести корректировку/пересмотр ФЗ «О рекламе»;1039;Федеральный
Направлять доходы от налогообложения нефтегазового сектора, превышающие утверждённые в бюджете Российской Федерации, на строительство заводов по переработке нефти;1039;Федеральный
Привлечь депутатов всех уровней к поочерёдному рассмотрению ими инициатив РОИ;1037;Федеральный
Разработать и привести в действие проект по очистке побережья Каспийского моря;1036;Федеральный
Ввести ознакомительный период для недавно установелнных дорожных знаков;1036;Федеральный
Ужесточить ответственность за нецензурную брань во дворах и на балконах жилых домов;1036;Федеральный
Отказаться от использования страхового номера индивидуального лицевого счета (СНИЛС), вести персонифицированный учет по ИНН;1035;Федеральный
Привлечение во все дела по ДТП представителей дорожного хозяйства;1033;Федеральный
На данном сайте дату истечения срока инициативы считать не с даты отправки на рассмотрение, а с момента публикации;1031;Федеральный
Оборудовать железнодорожные переезды средствами аварийной связи;1031;Федеральный
Внести изменения в закон от 22.05.2002 года № 54-ФЗ  ;1030;Федеральный
Сделать горячую линию ЦИК РФ бесплатной;1028;Федеральный
Повысить минимально допустимую температуру в жилых помещениях;1027;Федеральный
Ограничить продажу сладостей в школьных столовых;1027;Федеральный
Дачную амнистию сделать бессрочной, распространив ее действие на все категории земель и виды разрешенного использования, разрешение на строительство отменить;1025;Федеральный
Доступный кредит для всех граждан РФ;1025;Федеральный
Законодательно ввести ограничения на продажу ресурсов по ценам ниже рыночных на дату продажи;1022;Федеральный
Ввести изменения в пункт 14.1 Правил дорожного движения (ПДД) (глава «Пешеходные переходы»);1021;Федеральный
Сделать местное самоуправление в РФ реальностью;1020;Федеральный
Установить предельные розничные цены на товары отечественного производства;1020;Федеральный
Расширить льготы для малого бизнеса на упрощенной системе налогообложения, связанные с переходом на онлайн-кассы;1019;Федеральный
Разрешить продление или перенос ежегодного оплачиваемого отпуска в случае временной нетрудоспособности работника, связанной с болезнью члена семьи, с оплатой больничного листа по уходу за членом семьи;1018;Федеральный
Разработать механизм продажи квартиры с обременением по ипотеке;1018;Федеральный
Разработать и принять Федеральный закон «О защите интересов науки»;1017;Федеральный
Создать орган, контролирующий судебную власть;1017;Федеральный
Увеличить размер налогового вычета по ипотеке для граждан РФ, учитывать при расчёте конечную стоимость ипотечного кредита;1016;Федеральный
