name;votes;level
Исключить теологию из перечня научных специальностей;2697;Федеральный
Вернуть в избирательные бюллетени графу «Против всех» на выборах всех уровней;2666;Федеральный
Ужесточить наказание за преступления должностных лиц госучреждений, связанные со злоупотреблением своим служебным положением;2651;Федеральный
Организовать пункты льготной стерилизации животных;2633;Федеральный
Ужесточить наказание за жестокое отношение к животным;2618;Федеральный
Ввести возможность оформления полиса ОСАГО через сайт «Госуслуги»;2587;Федеральный
Ограничить максимальный размер зарплаты руководителей предприятий с государственным участием десятикратным размером среднего заработка по предприятию;2579;Федеральный
Законодательно повсеместно отменить и запретить взимание абонентской платы за якобы обслуживание домофонов;2566;Федеральный
Запретить  ямочный ремонт дорожного покрытия;2545;Федеральный
Вывести деньги российских налогоплательщиков из облигаций США;2527;Федеральный
Ужесточить наказание за пьяные дебоши в квартирах и дворах;2509;Федеральный
Запретить использование животных с коммерческой целью;2509;Федеральный
Ограничить законодательно максимальные ставки по кредитам ;2506;Федеральный
Серьёзно ужесточить наказания за преступления, совершённые сотрудниками правоохраниетльных органов с использованием служебного положения;2505;Федеральный
Отмена страховой медицины, ликвидация медицинских страховых компаний и возврат к бесплатной медицине;2498;Федеральный
Вернуть в школы уроки труда;2487;Федеральный
Маркировать знаком «Пальма» пищевые продукты, содержащие пальмовые масла и их производные;2482;Федеральный
Обеспечить бесплатное качественное лечение и протезирование зубов детям, пенсионерам и всем гражданам, исправно платящим налоги;2480;Федеральный
Ужесточить уголовную ответственность за коррупционные преступления;2475;Федеральный
Ввести государственное регулирование цен на бензин и дизельное топливо;2456;Федеральный
Запретить Газпрому взимать какие-либо платежи с населения, кроме оплаты за потреблённый газ;2452;Федеральный
Разрешить аудио- и видеозапись всех государственных служащих, находящихся при исполнении, при обращении к ним граждан;2422;Федеральный
Упростить сроки перечисления НДФЛ и форму декларации 6-НДФЛ;2422;Федеральный
Законодательно запретить введение новых налогов без проведения референдума;2408;Федеральный
Вернуть инвалидам, проживающим в приватизированных квартирах, льготы по оплате услуг ЖКХ;2405;Федеральный
Запретить открытие контактных зоопарков в торговых и иных развлекательных центрах;2380;Федеральный
Запретить использование и предоставление животных для «подготовленной охоты»;2362;Федеральный
Установить материальную ответственность должностных лиц за необоснованное составление протоколов об административных правонарушениях;2352;Федеральный
Необходимо принять закон о распределения прибыли от реализации природных ресурсов на лицевые счета граждан РФ;2337;Федеральный
Обязать банки снижать процентные ставки по уже выданным кредитам в соответсвии с размером снижения ставки рефинансирования Центробанка РФ;2337;Федеральный
Отменить плату за газ, воду, соль, бензин для всех граждан РФ ;2334;Федеральный
Минимизировать количество бумажной работы для педагогов;2320;Федеральный
Развивать внутренний туризм путем введения единой низкой цены на билет (туда-обратно) один раз в год на человека в любую точку России;2295;Федеральный
Закон о льготах и доплатах пенсионерам Москвы сделать федеральным и применять по отношению к пенсионерам всей России;2280;Федеральный
Восстановить лесничество в лесах России;2277;Федеральный
Прожиточный минимум должен учитывать все минимальные расходы человека;2269;Федеральный
Сделать центральное телевидение России семейно-ориентированным, определив максимальный допустимый возрастной рейтинг транслируемого контента «12+»;2263;Федеральный
Запретить продажу детского шампанского, а также игрушек и продуктов питания, дизайн которых напоминает об алкоголе или находится в таре из-под алкогольных напитков;2258;Федеральный
Предоставить право гражданам, имеющим разрешение на хранение и ношение огнестрельного оружия, осуществлять самостоятельное снаряжение патронов к такому оружию;2256;Федеральный
Введение пожизненной выплаты гражданам России с рождения до смерти как доли от её богатств - нефти и газа, в размере не менее 500 долларов месяц. В случае рождения ребёнка женщины получают 100 тыс. на ребёнка в течение трёх лет.;2252;Федеральный
Разрешить голосовать на выборах всех уровней через сайт Госуслуги;2250;Федеральный
Изменить систему оплаты труда футболистов;2242;Федеральный
Изменить ответственность за подделку лекарственных препаратов;2241;Федеральный
Заверять нотариально обещания политиков перед выборами;2240;Федеральный
Запретить деятельность, направленную на нанесение в любом виде вреда государственности, традиционному, культурному и общественному укладу народов России, ввести уголовную ответственность для организаторов и участников подобных действий и акций;2228;Федеральный
Создать единую государственную программу обследования на онкологические заболевания;2217;Федеральный
Ввести большие штрафы за разбрасывание бытового мусора;2217;Федеральный
Избирать главу муниципального образования только на муниципальных выборах путём волеизъявления не менее чем 51%, проживающих в данном муниципальном округе;2205;Федеральный
Усилить контроль за деятельностью судов;2163;Федеральный
Провести общественные слушания о необходимости пересмотра УК РФ в части ужесточения ответственности (в разы) за правонарушения чиновников администраций и силовых структур всех рангов;2158;Федеральный
Запретить ввоз в страну пищевого пальмового масла;2155;Федеральный
Запретить принудительное взыскание денег в фонд капитального ремонта;2148;Федеральный
Взять под охрану гималайских медведей, включив этот вид в Красную книгу;2142;Федеральный
Отменить сроки давности за административные нарушения и уголовные преступления для всех чиновников, юридических лиц и в составе организованной группы;2140;Федеральный
Запретить оформление кредитов онлайн без явки заемщика в офис и оформления договора с личной подписью;2137;Федеральный
Запретить использование диких животных для фотосессий с коммерческой целью;2134;Федеральный
Увеличить пенсию до средней зарплаты по региону;2133;Федеральный
Выдавать выписки из домовых книг в электронном виде через портал Госуслуг;2132;Федеральный
Установить в населенных пунктах контейнеры для раздельного сбора вторсырья;2127;Федеральный
